company,date,headline,description,source,url,sentiment,sentiment_score,scraped_at
Infosys,2026-04-01,Infosys (INFY) to Acquire Optimum Healthcare IT for Up to $465M,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c6506e61-3bbd-4f37-ba0f-c1688e4f1912,Positive,0.7,2026-05-02T10:39:20.117753
Infosys,2026-04-22,Susquehanna Cuts PT on Infosys (INFY) Following Fiscal Q4 Results Preview,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_67f36b4b-bd9a-426b-897b-7893a42ba819,Neutral,0.0,2026-05-02T10:39:20.118079
Infosys,2026-04-24,Here Is Why Infosys (INFY) Is Among the Best Indian Stocks to Buy According to Hedge Funds,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c2e939c9-05b1-4257-b6b6-1f47c9465a76,Positive,1.0,2026-05-02T10:39:20.118391
Infosys,2026-04-28,Metro relief for Pune’s Hinjewadi IT hub: check list of 12 stations on Line 3 opening by June 15,The 23-km elevated Line 3 of Pune Metro will reduce travel time between the central business district and the IT hub in Hinjewadi.,The Indian Express,https://indianexpress.com/article/cities/pune/pune-metro-line-3-opening-date-hinjewadi-shivajinagar-stations-list-10659882/,Neutral,0.0,2026-05-02T10:39:20.119195
Infosys,2026-04-30,Is stock market open on May 1?,"Stock Market Holiday on May 1st: The Indian stock market, including the National Stock Exchange (NSE) and the Bombay Stock Exchange (BSE), remains closed on national holidays and public holidays.",The Indian Express,https://indianexpress.com/article/india/is-stock-market-open-on-may-1-10664191/,Neutral,-0.03333333333333333,2026-05-02T10:39:20.120247
Infosys,2026-04-22,"Muted Q4, weak forecast cast a shadow on HCLTech","HCLTech's revenue growth guidance for FY27 is significantly lower than the actual FY26 growth, implying the effect of growing dependence of clients on operating efficiencies driven by ever rising capabilities of the artificial intelligence (AI) models and age…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/earnings/muted-q4-weak-forecast-cast-a-shadow-on-hcltech/articleshow/130429557.cms,Negative,-0.15,2026-05-02T10:39:20.121224
Infosys,2026-04-25,Infosys (INFY) Reports Q4 EPS Beat,,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_dd2c0122-3411-4c65-ab08-2c452679b391,Neutral,0.0,2026-05-02T10:39:20.121637
Infosys,2026-04-26,Why No One Will Know That Viral Photo is Yours (And What Can Help),"You might not know what the word ""provenance"" means but you probably are familiar with the problem it can cause. You take an amazing photo, it goes viral on social media, but no one knows who took it. There is no provenance trail to link back to the creator.
…",PetaPixel,https://petapixel.com/2026/04/26/why-no-one-will-know-that-viral-photo-is-yours-and-what-can-help/,Positive,0.2520833333333334,2026-05-02T10:39:20.122443
Infosys,2026-04-24,India's Infosys slips on weak 2027 growth outlook,"April 24 : Shares of Infosys fell as much as 3.3 per cent on Friday after the IT firm forecast weaker-than-expected fiscal 2027 revenue growth, as AI-driven spending caution amid macro uncertainty raised concerns over demand recovery in the sector. The stock …",CNA,https://www.channelnewsasia.com/business/indias-infosys-slips-weak-2027-growth-outlook-6078036,Negative,-0.125,2026-05-02T10:39:20.123209
Infosys,2026-04-06,MONSTA X Set 2026 North American “THE X : NEXUS” Tour Dates,"Monsta X have announced North American dates for their 2026 world tour, ""THE X : NEXUS."" It marks the K-pop group's first large-scale North American outing in four years.",Consequence.net,https://consequence.net/2026/04/monsta-x-2026-north-american-the-x-nexus-tour-dates/,Neutral,0.0625,2026-05-02T10:39:20.123978
Infosys,2026-04-10,TCS deal wins signal stability despite AI concerns: Sandip Agarwal,"TCS's robust $12 billion Total Contract Value signals stability amidst AI disruption fears, indicating intact client spending. Analysts project 5-6% dollar growth and 16-17% rupee earnings CAGR, suggesting potential stock rerating. IT firms' system integrator…",The Times of India,https://economictimes.indiatimes.com/markets/expert-view/tcs-deal-wins-signal-stability-despite-ai-concerns-sandip-agarwal/articleshow/130160448.cms,Neutral,0.09999999999999999,2026-05-02T10:39:20.124672
Infosys,2026-04-21,OpenAI partners with consultancies to expand AI coding tool,"The company said weekly active users of Codex have climbed to 4 million, up from 3 million just weeks ago",Quartz India,https://qz.com/openai-codex-consulting-partnerships-enterprise-042126,Negative,-0.13333333333333333,2026-05-02T10:39:20.125148
Infosys,2026-04-21,India’s GIFT City issues first family fund licence,"The approval went to Poornam Asset Management IFSC, reported Reuters.",Privatebankerinternational.com,https://www.privatebankerinternational.com/news/india-gift-city-family-fund-licence/,Positive,0.25,2026-05-02T10:39:20.125604
Infosys,2026-04-23,India's Infosys forecasts weak revenue growth as AI-driven caution dents IT spending,"BENGALURU, April 23 : Infosys forecast annual revenue growth below market expectations on Thursday, as macroeconomic uncertainty and newer AI tools push clients to reassess tech spending, sending U.S.-listed shares of India's No.2 software services exporter d…",CNA,https://www.channelnewsasia.com/business/indias-infosys-forecasts-weak-revenue-growth-ai-driven-caution-dents-it-spending-6076301,Negative,-0.375,2026-05-02T10:39:20.126282
Infosys,2026-04-21,India's HCLTech forecasts weak annual revenue growth as clients rein in discretionary spends,"India's HCLTech forecast revenue growth of 1%-4% for fiscal 2027 on Tuesday, below analysts' expectations of 3%-5%, ‌as clients kept a tight lid on...",Yahoo Entertainment,https://finance.yahoo.com/markets/stocks/articles/indias-hcltech-misses-q4-revenue-123559903.html,Negative,-0.2767857142857143,2026-05-02T10:39:20.128613
Infosys,2026-04-23,"India's Infosys beats quarterly revenue view, pegs fiscal 2027 growth at 1.5%-3.5%","BENGALURU, April 23 : Infosys, India's second-largest IT services firm, reported better-than-expected quarterly revenue on Thursday, aided by a pickup in demand from its banking, energy and communication segments.The company forecasted 1.5 per cent-3.5 per ce…",CNA,https://www.channelnewsasia.com/business/indias-infosys-beats-quarterly-revenue-view-pegs-fiscal-2027-growth-15-35-6076301,Negative,-0.2,2026-05-02T10:39:20.129729
Infosys,2026-04-08,"Bendigo Bank IT restructure continues with Infosys, Genpact deals","""Will lead to workforce changes"".",iTnews,https://www.itnews.com.au/news/bendigo-bank-it-restructure-continues-with-infosys-genpact-deals-624882,Neutral,0.0,2026-05-02T10:39:20.130169
Infosys,2026-04-07,"Monsta X Announces North American Dates for 2026 World Tour, Visit 'Good Morning America' in New York","Monsta X have announced the North American dates for their 2026 Monsta X World Tour The X: NEXUS. The 10 newly added shows will start on Saturday, October 3, in at the EagleBank Arena in Fairfax, Va., with dates spread across the U.S. and Canada before wrappi…",Just Jared,https://www.justjared.com/2026/04/06/monsta-x-announces-north-american-dates-for-2026-world-tour-visit-good-morning-america-in-new-york/,Positive,0.19454545454545452,2026-05-02T10:39:20.131131
Infosys,2026-04-07,"Weeks after SC rap, NCERT reconstitutes textbook committee; includes ex-national law school V-C, IIT Madras director","The NCERT notification expands the textbook committee to 20 members and introduces heavyweights from law, history, and technology.",The Indian Express,https://indianexpress.com/article/india/ncert-reconstitutes-nstc-class-8-textbook-judiciary-10623342/,Neutral,0.0,2026-05-02T10:39:20.131781
Infosys,2026-04-06,"Pharma, Auto, and IT: Pankaj Pandey shares sectoral insights amid global challenges",Pankaj Pandey shares insights on Indian sectors facing US tariffs. He sees limited impact on pharma growth but potential benefits for Jubilant Pharma and Piramal Pharma. Sun Pharma's domestic capex is a positive. The auto sector shows robust volume growth and…,The Times of India,https://economictimes.indiatimes.com/markets/expert-view/pharma-auto-and-it-pankaj-pandey-shares-sectoral-insights-amid-global-challenges/articleshow/130054202.cms,Neutral,0.03116883116883117,2026-05-02T10:39:20.132568
